source_year,Straftat_Gesetz,Art_der_Straftat,abgeurteilte,verurteilte,verurteilungsquote,verurteilungsquote_pct
2024,StGB  ,"StGB §§ 90, 90 b, 90 c Andere Straftaten der Gefährdung des demokratischen Rechtsstaates",1.0,1.0,1.0,100.0
2024,StGB  ,"StGB §§ 95, 97 Offenbaren und Preisgabe von Staatsgeheimnissen",2.0,2.0,1.0,100.0
2024,StGB  ,Straftaten im Straßenverkehr in Trunkenheit mit Verkehrsunfall ,24180.0,22952.0,0.9492142266335815,94.92142266335814
2024,StGB  ,Straftaten im Straßenverkehr in Trunkenheit ohne Verkehrsunfall ,48813.0,46578.0,0.9542130170241534,95.42130170241533
2024,StGB  ,Straftaten im Straßenverkehr nach dem StGB in Trunkenheit zusammen,72993.0,69530.0,0.9525570945159125,95.25570945159126
2024,StGB  ,Straftaten im Straßenverkehr nach dem StGB insgesamt Summe 7001 bis 7041,122747.0,107177.0,0.873153722697907,87.3153722697907
2024,StGB  ,Straftaten im Straßenverkehr nach dem StGB und StVG ohne Trunkenheit zusammen,111444.0,92854.0,0.8331897634686479,83.31897634686479
2024,StGB  ,Straftaten im Straßenverkehr ohne Trunkenheit mit Verkehrsunfall ,48732.0,37497.0,0.7694533366165969,76.94533366165969
2024,StGB  ,Straftaten im Straßenverkehr ohne Trunkenheit ohne Verkehrsunfall ,62712.0,55357.0,0.882717821150657,88.2717821150657
2024,StGB  ,Trunkenheit im Verkehr nach § 316 StGB insgesamt ,54267.0,51998.0,0.9581882175170914,95.81882175170914
2024,StGB  ,Unerlaubtes Entfernen vom Unfallort insgesamt (§ 142 StGB) ,37732.0,29079.0,0.7706721085550726,77.06721085550726
2024,StGB  ,Verbotene Kraftfahrzeugrennen nach § 315 d StGB insgesamt ,1647.0,1254.0,0.761384335154827,76.13843351548269
2024,StGB  ,Verbotene Kraftfahrzeugrennen nach § 315 d StGB mit Verkehrsunfall ,260.0,214.0,0.823076923076923,82.3076923076923
2024,StGB  ,Verbotene Kraftfahrzeugrennen nach § 315 d StGB ohne Verkehrsunfall ,1387.0,1040.0,0.7498197548666186,74.98197548666185
2024,StGB  ,Fahrlässige Körperverl. im Straßenverkehr insgesamt (§ 229 StGB) ,13089.0,11009.0,0.8410879364351745,84.10879364351746
2024,StGB  ,Fahrlässige Tötung im Straßenverkehr insgesamt (§ 222 StGB) ,538.0,465.0,0.8643122676579925,86.43122676579925
